title,link,current_price,old_price,discount,rating,rating_num,shipping,Best Seller Ranking,Series,AI Features,Operating System,Processor Name,Screen Size,Resolution,Refresh Rate,SSD,Memory,Memory Slot (Total),WiFi Generation,Bluetooth,USB,HDMI,Other port,Backlit Keyboard,Battery,First Listed on Newegg,Brand,Model,Part Number,Color,CPU Type,Number of Cores,CPU L2 Cache,CPU L3 Cache,Touchscreen,Wide Screen Support,Display Type,Panel,GPU/VPU,Video Memory,Graphic Type,Storage Spec,Memory Speed,Memory Spec,Memory Slot (Available),WLAN,Ethernet,Audio Ports,Speaker,Touchpad,Webcam,Style,Type,Usage,AC Adapter/Charger,Dimensions (W x D x H),Weight,Package Content,Neural Processing Unit (NPU),Display Features,Optical Drive Type,Thunderbolt,Audio,Card Reader,Battery Life,LAN,Keyboard,Cosmetic Condition,HDD,Core Name,Video Port,Turbo Frequency,Smart Cache,Max Memory Supported,Other Features,Release Year,CPU,Screen,Storage,Consumer Alert,Docking Connector,Software Included,Graphics Card,Communication,Other Input Devices,Virtual Reality Ready
"Refurbished Dell Precision 7550 Mobile 15.6"" Workstation Laptop, Intel i7 10850H 2.6Ghz, 32GB DDR4, 512GB NVMe M.2, Full HD 1080p, NVIDIA Quadro T2000 4GB GDDR6, Windows 11 Pro (Grade B)",https://www.newegg.com/dell-precision-15-6-fhd-non-touch-screen-intel-core-i7-10850h-nvidia-quadro-t2000-32gb-memory-512gb-pcie-ssd-black/p/1TS-000A-15GR7,$599.99,,,,,Free Shipping,,Precision,,Windows 11 Pro,Intel Core i7-10850H,"15.6""",1920 x 1080,,512GB PCIe,32GB,,,Yes,4,1 x HDMI 2.0,,,,"April 14, 2026",DELL,7550,,Black,Intel Core i7 10th Gen,6-core Processor,12MB,12 MB,Non-Touch Screen,Yes,FHD,,NVIDIA Quadro T2000,4 GB,Dedicated Card,NVMe M.2 PCIe SSD,,,,802.11ac Wireless LAN,1 x RJ-45,1 x Headphone/Microphone Combo Jack,Internal Speakers,Yes,Yes,Standard,Mainstream,Business,,,5 - 5.9 lbs.,,,,No,2 x Thunderbolt 3,Integrated Sound card,,,,,Grade B (Good),,Comet Lake,1 x Mini DisplayPort,,,64GB,In overall Good condition - units will show signs of previous use. Upgraded to Windows 11 Pro. 90 day hardware warranty. Box includes Laptop and Charger. Stock images are used.,,,,,Grade B - Laptop will have some cosmetic blemishes that include scratches and/or other surface imperfections. Some laptops may exhibit shiny keys on the keyboard and/or shiny surfaces around the keyboard. All key characters will be legible.  The screen may have a very minor blemish that some may not notice. Grade B units will be priced lower than the Grade A equivalent and will have the same warranty as all products. Vinyl skin cover may be applied.,,Fresh install and activated Windows 11 with zero bloatware. Windows 11 will be activated via your unit's unique digital license and ready to go right out of the box.,,,,
"Lenovo ThinkPad L15 Gen 2 Home & Business Laptop (Intel i7-1165G7 4-Core, 15.6"" 60Hz Full HD (1920x1080), Intel Iris Xe, 64GB RAM, 1TB PCIe SSD, Backlit KB, Wifi, USB 3.2, HDMI, Win 11 Pro)",https://www.newegg.com/lenovo-thinkpad-l15-gen-2-15-6-non-touch-screen-2-80ghz-intel-iris-xe-graphics-64gb-memory-1-tb-ssd-black/p/1TS-000E-10SS5,"$2,099.99",,,,,Free Shipping,,ThinkPad L15 Gen 2,,Windows 11 Pro,2.80GHz,"15.6""",1920 x 1080,,1TB,64GB,,,Bluetooth 5.2,,1 x HDMI,,Backlit,,"November 05, 2022",Lenovo,,,Black,Intel Core i7 11th Gen,,,12MB Cache,Non-Touch Screen,,,,Intel Iris Xe Graphics,,Integrated Card,1TB PCIe SSD,DDR4,,,Wi-Fi 6E AX210,,1 x Headphone/Microphone Combo Jack,,,Yes,Standard,Work / Business,,,,,,,,No,,,Yes,,,Standard,,No,,,4.7 GHz,,,,,,,,,,,,,No,
"HP 17 Business and Student Laptop Computer,17.3"" FHD Laptop, Intel Core I7 13th I7-1355U Upto 5.0GHz, 32GB RAM, 1 TB PCIe SSD, Intel Iris Xe,Copilot Laptop,Windows 11 Pro, HUB",https://www.newegg.com/hp-17-3-fhd-non-touch-screen-intel-core-i7-1355u-32gb-memory-1tb-ssd-silver/p/1TS-000D-1SVN7,$999.79,,,,,Free Shipping,,,,Windows 11 Pro,Intel Core i7-1355U,"17.3""",1920 x 1080,,1TB,32GB,,,Bluetooth 5.0,,1 x HDMI,,,3-cell Lithium Ion,"May 12, 2026",HP,,,Silver,Intel Core i7 13th Gen,,,,Non-Touch Screen,,FHD,,,,,,,,,,,,Internal Speakers,Yes,Yes,Standard,Everyday Value,Consumer,,,4 - 4.9 lbs.,,,,,,,,Up to 10 Hours,,Standard,,,,,,,,,,,,,,,,,,,
"HP ProBook 4 G1q 14"" Copilot+ PC Notebook - WUXGA - Qualcomm Snapdragon X X1-26-100 - 32 GB - 1 TB SSD - English Keyboard - Pike Silver - 1920 x 1200 - Windows 11 Pro - Qualcomm Adreno - In-plane",https://www.newegg.com/hp-14-0-adreno/p/1TS-000D-1PXS1,"$1,099.00",,,,,Free Shipping,,,,Windows 11 Pro,,"14.0""",1920 x 1200,,SSD,,,,Yes,4,1 x HDMI,,Backlit,,"June 29, 2026",HP,BG6K0UT#ABA,BG6K0UT#ABA,Pike Silver,snapdragon_x,,,,No,,,LCD,Adreno,,Integrated Card,,,,,802_11_AX,,,,,Yes,,Home / Personal,,,,4.95 lb,,,,,,,,,,Backlit,,1 TB,,,,,32 GB,,,,,,,,,,,,
Refurbished DELL Latitude 14 Rugged 5424 Military Grade Notebook 14 FHD (1920 x 1080) NON TOUCH - 8th Gen Intel QUAD Core i5-8350U 8 GB DDR4 512GB SSD DVD Wi-Fi Windows 11 Pro,https://www.newegg.com/dell-rugged-14-14-0-fhd-non-touch-screen-intel-core-i5-8350u-intel-uhd-graphics-620-8gb-memory-512-gb-ssd-black/p/1TS-000A-0PEV9,$549.99,,,5.0,1.0,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refurbished Dell Precision 3561 15.6"" 32GB 512GB SSD Core i7-11850H 2.5GHz WIN11P, Titan Grey",https://www.newegg.com/dell-15-6-ips-no-nvidia-t600-32gb-memory-512-gb-ssd-gray/p/1TS-000A-15718,$439.50,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Victus 15 Gaming Laptop, 15.6"" FHD IPS 144Hz, AMD Ryzen 7 7445HS 6-Core, NVIDIA GeForce RTX 4050, 64GB RAM, 2TB SSD, Backlit Keyboard, Wi-Fi 6, Windows 11 Pro",https://www.newegg.com/hp-victus-15-6-fhd-non-touch-screen-amd-ryzen-7-7445hs-nvidia-geforce-rtx-4050-64gb-memory-2tb-ssd-black/p/1TS-000D-1SUK9,"$1,907.00",,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DELL 15.6"" Full HD Touchscreen Laptop,13th Gen Intel Core i7-1355U,16GB DDR5 RAM,256GB SSD,Lifetime Office,Windows 11 Pro/HUB",https://www.newegg.com/dell-15-6-fhd-touch-screen-intel-core-i7-1355u-16gb-ddr5-memory-256gb-ssd-black/p/1TS-000A-15RT0,$829.79,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire Go 15 AI Ready Laptop - Intel Core i9-13900H - 16GB RAM - 512GB SSD - Windows 11 Home (NX.JSDAA.001),https://www.newegg.com/acer-america-aspire-go-15-15-6-fhd-non-touch-screen-intel-core-i9-13900h-intel-iris-xe-graphics-16gb-memory-512-gb-pcie-ssd-pure-silver/p/N82E16834360412,$849.99,$899.99,5%,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refurbished Dell Precision 7520 Business Laptop, 15.6"" FHD IPS (1920x 1080) Non-Touch, Intel Core i7-6820HQ, 32GB RAM, 512GB SSD, nVidia Quadro M2200, Windows 10 Pro",https://www.newegg.com/dell-15-6-non-touch-screen-4000-32gb-memory-512-gb-ssd-black/p/1TS-000A-0Y956,$339.99,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad X1 Carbon Gen 12 Laptop, 14"" FHD+ Display, Intel Core Ultra 7 155U Upto 4.8GHz, 32GB RAM, 2TB SSD, Backlit keys, Fingerprint Reader, Windows 11 Pro (21KCS4SE00)",https://www.newegg.com/lenovo-thinkpad-14-0-full-hd-intel-uhd-graphics-32gb-memory-2-tb-ssd-black/p/1TS-000E-1DPR7,"$2,199.99",,,,,Free Shipping,,ThinkPad,,Windows 11 Pro,,"14.0""",1920 x 1200,,2TB,32GB,0,Wi-Fi 6E,Bluetooth 5.3,4,1 x HDMI,,Backlit,,"December 09, 2025",Lenovo,X1 Carbon Gen 12,21KCS4SE00,Black,Intel Core,12-core Processor,,,No,Yes,Full HD+,IPS,Intel UHD Graphics,,Integrated Card,2TB NVMe SSD,DDR5 4800,32 GB onboard,0.0,802.11ax Wireless LAN,,1 x Headphone/Microphone Combo Jack,Integrated Stereo Speakers,Yes,Yes,Thin and Light,Work / Business,,45-watt AC Adapter,8.45 x 12.31 x 0.59 in,2 - 2.9 lbs.,,,,No,1 x Thunderbolt 4,Integrated Sound card,,Up to 3 Hours,,Standard,,No,,"1 x HDMI, Thunderbolt",4.8GHz,12MB,32 GB,Fingerprint reader,,,,,,,,,,,
"HP 15.6 HD Touchscreen Business&Home  Laptop - with Microsoft Office Lifetime License,13th Generation Intel core i3-1315U 6-Core Processor 16GB RAM, 256 GB PCIe SSD Windows 11 Pro/Xtredura Flash Drive",https://www.newegg.com/hp-15-0-hd-touch-screen-intel-core-i3-1315u-16gb-memory-256-gb-ssd-silver/p/1TS-000D-1RKX3,$569.79,,,,,Free Shipping,,,,Windows 11 Pro,Intel Core i3-1315U,"15.6""",1366 x 768,,256GB,16GB,,,,,1 x HDMI,,,3-cell Lithium Ion,"September 12, 2025",HP,,,Silver,Intel Core i3 13th Gen,,,,Touch Screen,,HD,,,,,,,,,,,,Integrated Stereo Speakers,,Yes,Standard,Home / Personal,Consumer,45-watt AC Adapter,14.15 IN x 9.25 IN x 0.90 IN,3 - 3.9 lbs.,,,,,,,,Up to 8 Hours,,Standard,,,,,,,,,,,,,,,,,,,
"Refurbished Dell Latitude 5430 Laptop Intel Core i7-1255U 16GB RAM 256GB SSD 14.0"" FHD Webcam Windows 11 Pro",https://www.newegg.com/dell-latitude-14-0-fhd-non-touch-screen-intel-core-i7-1265u-gray/p/N82E16834817601,$349.00,,,1.0,1.0,Free Shipping,#56 in All Laptop,Latitude,,Windows 11 Pro,Intel Core i7-1255U,"14.0""",1920 x 1080,,256GB NVMe,16GB DDR4,,,,2 x USB 3.2 Gen 1 Type-A,1 x HDMI 2.0,"1 x Memory Card Reader, 1 x Smart Card Reader, 1 x Global Headset Jack",Backlit,,"July 02, 2026",DELL,5430,LT-DE5430/i7-G12-16-256,Gray,Intel Core i7 12th Gen,10-core (2P+8E) Processor,,12 MB,Non-Touch Screen,Yes,FHD,,Intel Iris Xe Graphics,Shared system memory,Integrated Card,,DDR4 3200,,,,1 x RJ-45,,,,Yes,Thin and Light,Mainstream / Work / Business,Business,,12.65'' x 8.35'' x 0.76'',3.01 lbs.,,,"Anti-glare, LED Backlight Narrow Border WVA Display, 300 nits",,2 x Thunderbolt 4,,,,,Backlit Keyboard,,No,Alder Lake,,,,,,,,,,,,,,,,
Refurbished Dell Latitude 7450 7M9WG 14.0-inch LCD Laptop - Core Ultra 7-165U 1.7 GHz - 32 GB LPDDR5X RAM - 512 GB Nvme Solid State Drive - Wi-fi 7 - Win 11 Pro - Titan Gray,https://www.newegg.com/dell-14-0/p/1TS-000A-14N87,$999.99,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refurbished Lenovo Thinkpad T14s Gen 3 14"" Laptop, i5 1245U, 16GB DDR5, 256GB NVMe SSD, Thunderbolt 4, HDMI, Webcam, Windows 11 Pro - Black (Grade BLCD)",https://www.newegg.com/lenovo-thinkpad-14-0-wide-uxga-non-touch-screen-intel-core-i5-1245u-intel-iris-xe-graphics-16gb-ddr5-memory-256gb-pcie-ssd-black/p/1TS-000E-1E4R4,$449.99,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo V15 Gen 4 15.6"" Laptop AMD Ryzen 7 7730U 16GB RAM 1TB SSD Windows 11 Home (83CR003UUS)",https://www.newegg.com/lenovo-15-6-non-touch-screen-amd-ryzen-7-7730u-amd-radeon-graphics-16gb-memory-1-tb-nvme-ssd-business-black/p/N82E16834840737,$749.99,,,4.7,3.0,Free Shipping,#81 in All Laptop,,,Windows 11 Home,AMD Ryzen 7 7730U,"15.6""",1920 x 1080,,1TB NVMe,16GB DDR4,1,Wi-Fi 6,Bluetooth 5.2,1 x USB 2.0/1.1 / 1 x USB 3.2 Gen 1 Type-A / 1 x USB 3.2 Gen 1 Type-C,1 x HDMI 1.4b,,Non-backlit,38Wh,"March 19, 2026",Lenovo,V15 Gen 4,83CR003UUS,Business Black,AMD Ryzen 7 7000 Series,8-core Processor,4MB,16 MB,Non-Touch Screen,Yes,,IPS,AMD Radeon Graphics,Shared system memory,Integrated Card,1 TB SSD M.2 2242 PCIe 4.0x4 NVMe,DDR4 3200,8 GB onboard + 8 GB x 1,0.0,802.11ax Wireless LAN,1 x RJ-45,1 x Headphone/Microphone Combo Jack,"Stereo speakers, 1.5W x2, Dolby Audio","Buttonless Mylar surface multi-touch touchpad, supports Precision TouchPad (PTP), 62 x 104 mm (2.44 x 4.09 inches)",HD 720p with Privacy Shutter,Thin and Light,Work / Business,Business / Mainstream,65W USB-C (3-pin),"14.14"" x 9.28"" x 0.78""",3.64 lbs.,,,,No,,"High Definition (HD) Audio, Realtek ALC3287 codec",,,10/100/1000Mbps,"Non-backlit, English",,,,,,,16 GB,,,,,,,,,,,,
Acer Aspire 3 15.6 FHD Display | Intel Core i7-1165G7 2.8 GHz | Intel Iris Xe Graphics|WiFi |Bluebooth | Silver | 8GB RAM | 512GB SSD | Windows 11 Home | Bundle with USB 3.0 Hub,https://www.newegg.com/acer-america-15-6-led-non-touch-screen-8gb-memory-512-gb-ssd-silver/p/1TS-000X-05X25,$499.99,,,,,Free Shipping,,,,,,"15.6""",1920 x 1080,,512GB,8GB,,,,,,,Non-backlit,,"July 24, 2024",Acer,Acer Aspire,,Silver,Intel Core i7 1165G7,4-core Processor,,,Non-Touch Screen,,LED,,,,Integrated Card,,DDR4 SDRAM,,,,,,,,,Standard,Home / Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook S16 16"" OLED Laptop - Intel Core Ultra 9 285 Processor - 32GB RAM - 1TB SSD - 2880 x 1800 WQXGA+ Lumina OLED - Windows 11",https://www.newegg.com/asus-16-0-wqxga-32gb-memory-1-tb-ssd/p/1TS-001A-0BGS0,"$1,909.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refurbished HP pro book 650 g1 256gb ssd windows 10 pro dvdrw,https://www.newegg.com/hp-15-6-non-touch-screen-2-60ghz-intel-hd-graphics-8gb-memory-256-gb-ssd-black/p/1TS-000D-10W60,$136.27,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Newest 13th Generation Dell Inspiron 15 3530 Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1355U, 16GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Home, Black",https://www.newegg.com/dell-inspiron-15-6-touch-screen-intel-core-i7-1355u-intel-iris-xe-graphics-16gb-memory-1-tb-ssd-black/p/1TS-000A-0Z9R4,$869.00,,,,,Free Shipping,#86 in All Laptop,Inspiron,,Windows 11 Home,Intel Core i7-1355U,"15.6""",1920 x 1080,,1TB,16GB,,Wi-Fi 6,,4,,,,,"October 31, 2023",DELL,15 3530,,Black,Intel Core i7 13th Gen,10-core (2P+8E) Processor,,12MB,Touch Screen,Yes,,,Intel Iris Xe Graphics,Shared system memory,Integrated Card,,,,,,,,,,Yes,,Home / Personal,,,"14.11"" x 9.25"" 0.75""",3 - 3.9 lbs.,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
"Refurbished Lenovo ThinkPad T14 Gen 1 14"" Laptop i5-10210U 16GB 512GB Win 11 Pro Black",https://www.newegg.com/lenovo-14-0/p/1TS-000E-19V15,$299.00,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refurbished HP EliteBook 850 G8 15.6"" FHD Laptop Core i7-1185G7 3.00GHz 32 GB 512 GB SSD Windows 11 Pro",https://www.newegg.com/hp-elitebook-15-6-non-touch-screen-1-80ghz-intel-iris-xe-graphics-32gb-memory-512-gb-ssd/p/1TS-000D-1EBV5,$599.00,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refurbished ASUS Vivobook (Copilot+ PC) - 16 Inch WUXGA (1920x1200) Laptop, Snapdragon X (X1 26 100) Processor, 16GB LPDDR5X RAM - 1TB SSD, Backlit Keyboard, Windows 11 Home - Silver (X1607QA-IS56)",https://www.newegg.com/asus-vivobook-16-0-wuxga-snapdragon-x-integrated-graphics-16gb-memory-1tb-ssd-silver/p/1TS-001A-0BSM5,$549.99,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad T14 Business AI Laptop, 14"" FHD+ Touchscreen, Intel Core Ultra 5 225U, 16GB DDR5, 512GB SSD, Fingerprint, Backlit Keyboard, 5MP Webcam, Wi-Fi 6E, HDMI, Windows 11 Pro, w/Hub Bundle",https://www.newegg.com/lenovo-thinkpad-14-0-fhd-intel-core-ultra-5-225u-intel-uhd-graphics-16gb-ddr5-memory-512gb-pcie-ssd-black/p/1TS-000E-1EAY1,"$1,289.00",,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Ideapad 1i 15.6"" FHD Touchscreen Business&Home Laptop, 13th Intel Core i5-1334U Upto 4.6GHz, 16GB RAM, 1TB PCle SSD, Windows 11 Home, Lifetime Microsoft Office License, Blue",https://www.newegg.com/lenovo-ideapad-15-0-fhd-touch-screen-16gb-memory-1-tb-ssd-blue/p/1TS-000E-1D8K0,$799.79,,,,,Free Shipping,,IdeaPad,,Windows 11 Home,,"15.6""",1920 x 1080,60 Hz,1TB,16GB,,,,,1 x HDMI,,Non-backlit,3-cell Lithium Ion,"August 20, 2025",Lenovo,,,Blue,,,,,Touch Screen,,FHD,,,,,,,,,,,,Internal Speakers,Yes,Yes,Standard,Home / Personal,Business,45-watt AC Adapter,,3 - 3.9 lbs.,,,,,,Integrated Sound card,3-in-13,Up to 10 Hours,,Standard,,,,,,,,,,,,,,,Lifetime Microsoft Office,,,,
"Dell Inspiron 3530 15.6"" FHD Laptop,Intel Core i7-1255U,Intel Iris Xe Graphics,16 GB RAM|512 GB SSD,Windows 11 Pro,Black",https://www.newegg.com/dell-inspiron-15-6-fhd-non-touch-screen-intel-iris-xe-graphics-16gb-memory-512-gb-ssd-black/p/1TS-000A-135A2,$839.79,,,,,Free Shipping,,Inspiron,,Windows 11 Pro,,"15.6""",1920 x 1080,,512GB,16GB,,Wi-Fi 6,Bluetooth 5.3,,,,,,"August 02, 2024",,,,Black,Intel Core i7 12th Gen,,,,Non-Touch Screen,,FHD,,Intel Iris Xe Graphics,,,,DDR4 2666,,,,,,,,,,Work / Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refurbished Dell Latitude 5590 15.6"" Full HD 1920 x 1080 Ultrabook - 8th Gen Intel QUAD Core i5-8350U 1.7GHz 32 GB RAM DDR4 1TB SSD Wi-Fi Bluetooth Windows 11 Pro",https://www.newegg.com/dell-5000-14-0-fhd-non-touch-screen-intel-core-i5-8350u-intel-uhd-graphics-620-32gb-memory-1-tb-ssd-black/p/1TS-000A-0PFU9,$399.00,,,,,Free Shipping,,5000,,Windows 11 Pro,Intel Core i5-8350U,"14.0""",1920 x 1080,,1TB,32GB,2,Wi-Fi 4 and earlier generation,Yes,"3x USB 3.1 Gen1 (one with PowerShare) , 1 x USB Type-C (DisplayPort)",1 x HDMI,,,,"October 12, 2022",DELL,Latitude,5590,Black,Intel Core i5 8th Gen,Quad-core Processor,6MB,,Non-Touch Screen,,FHD,IPS,Intel UHD Graphics 620,,Integrated Card,1TB SSD,DDR4,16 GB x 2,0.0,,1 x RJ-45 (1Gbps),"1 x Microphone Jack, 1 x Headphone Jack",,Yes,Yes,Ultrabook,Mainstream,Consumer,65-watt AC Adapter,,3 - 3.9 lbs.,,,,No,1 x Thunderbolt,Integrated Sound card,,,10/100/1000Mbps,Standard,,No,,1 x HDMI 1.4 - DisplayPort over USB Type-C(optional Thunderbolt 3(1),,,32 GB,,,,,,,,,,,,
"Refurbished Dell Latitude 5400 14"" 16GB RAM 512GB SSD Core I5-8365U 1.6GHz Windows 11 Pro, Black",https://www.newegg.com/dell-14-0-lcd-no-integrated-graphics-16gb-memory-512-gb-ssd-black/p/1TS-000A-14K46,$259.00,,,,,$19.99 Shipping,,,,Windows 11 Pro,,"14.0""",1366 x 768,,512GB,16GB,,,No,0,1 x HDMI,,Non-backlit,Lithium-Ion,"July 09, 2026",DELL,Latitude 5400,Latitude5400NFP-RB,Black,,Quad-core Processor,,6 MB,No,,LCD,,Integrated Graphics,,Integrated Card,512 GB PCIe NVMe Hard Drive,,,2.0,802.11,,Yes,,,No,Notebook,Work / Business,,,12.7 x 8.5 x 1,,,,,No,,,,,,Standard,,,,,,,32 GB,,,,,,,,,,,,
"Refurbished Apple MacBook Air 2020 13.3"" Laptop  Apple M1 Chip, 16GB RAM, 256GB SSD, macOS, Retina Display, Tou",https://www.newegg.com/apple-13-3-ips-no-integrated-graphics-16gb-memory-gray/p/2SN-0001-03C03,$499.99,,,,,Free Shipping,#93 in All Laptop,,,macOS 11 Big Sur,,"13.3""",2560 x 1600,,,16GB,,,,0,No,,Backlit,Lithium-Ion,"June 26, 2025",Apple,MacBook Air MGN63LL/A,MGN63LL/A-DR-RB,Gray,,8-core Processor,,12 MB,No,,IPS,,Integrated Graphics,,Integrated Card,256 GB SSD Hard Drive,,,2.0,802.11,,Yes,,,Yes,Notebook,Work / Business,,,11.97 x 8.36 x 0.63,,,,,No,,,,,,Standard,,,,,,,32 GB,,,,,,,,,,,,
"Lenovo V15 Gen 2 Business Laptop 15.6"" FHD Anti-Glare Display (Intel Celeron N4500, 32GB DDR4, 512GB PCIe SSD, Intel UHD Graphics, WiFi, HD Webcam, RJ-45, HDMI, English Keyboard (UK), Win 11 Home)",https://www.newegg.com/lenovo-v15-15-6-intel-uhd-graphics-32gb-memory-512-gb-ssd-black/p/1TS-000E-1DM11,$674.99,,,,,,,V15,,Windows 11 Home,,"15.6""",1920 x 1080,,512GB,32GB,,,Bluetooth 5.1,,1 x HDMI,,Non-backlit,,"November 26, 2025",Lenovo,,,Black,Intel Celeron,,,4MB Cache,No,,,,Intel UHD Graphics,,Integrated Card,512GB PCIe SSD,DDR4,,,802.11ac Wireless LAN,,1 x Headphone/Microphone Combo Jack,,,Yes,Standard,Work / Business,,,,,,,,No,,,No,,,Standard,,No,,,2.8 GHz,,,,,,,,,,,,,,
"KurieTim Gaming Laptop AMD Ryzen 7 5825U(2.0-4.5GHz), 15.6"" FHD Display, 32GB DDR4 RAM 1TB NVMe SSD Laptop Computer with Backlit KB, Fingerprint Unlock, Webcam Switch",https://www.newegg.com/kurietim-15-6-amd-radeon-graphics-amd-ryzen-7-5825u-fhd-1080p-32gb-memory-1-tb-ssd/p/2WC-007G-00002,$629.99,,,3.9,13.0,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refurbished Lenovo ThinkPad X1 Carbon Gen 9 Laptop Intel Core i7-1185G7 16GB Memory 256GB SSD 14.0"" Touchscreen Windows 11 Pro",https://www.newegg.com/lenovo-thinkpad-14-0-touch-screen-intel-core-i7-1185g7-intel-iris-xe-graphics-16gb-memory-256gb-ssd/p/N82E16834840786,$876.35,,,3.8,5.0,Free Shipping,#11 in All Laptop,ThinkPad,,Windows 11 Pro,Intel Core i7-1185G7,"14.0""",1920 x 1200,,256GB,16GB,,Wi-Fi 6,Bluetooth 5.1,2 x USB 3.2 Gen 1,1 x HDMI 2.0,,,,"June 12, 2026",Lenovo,ThinkPad X1 Carbon,,,Intel Core i7 11th Gen,,,,Touch Screen,,,,Intel Iris Xe Graphics,,Integrated Card,,,,,802.11ax Wireless LAN,,,,,,,,,,,,,,,,2 x Thunderbolt 4,,,,,,,,,,,,,,,,,,,,,,,,
